College_Code,College_Name,Reason
3,"School of Architecture and Planning, Anna University,Chennai 600025",not_present_in_allotment|architecture_only
1129,"Jaya School of Architecture, Poonamallee By-Pass Road, Poonamallee, Chennai 600 056",not_present_in_allotment|architecture_only
1130,"MARG Instiute of Design & Architecture Swarnabhoomi (MIDAS), Marg Swarnabhoomi, Velur Village, Cheyyur Post, Chengalpattu District 603302",not_present_in_allotment|architecture_only
1132,"Rajalakshmi School of Architecture, Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",not_present_in_allotment|architecture_only
1135,"Aalim Muhammed Salegh Academy of Architecture, Muthapudupet, Avadi IAF, Chennai 600055",not_present_in_allotment|architecture_only
1138,"Da Vinci School of Design and Architecture, Rajiv Gandhi Salai, Karapakkam, Chennai, Chengalpattu District 600097",not_present_in_allotment|architecture_only
1144,"R V S Padmavathy School of Architecture, Senthil Pakkam Village, Roshanagaram Post, Madarapakkam Via, Gummidipoondi Taluk, Thiruvallur District 601202",not_present_in_allotment|architecture_only
1146,"Misrimal Navajee Munoth Jain School of Architecture, Rajiv Gandhi Salai (OMR), Thoraipakkam, Chengalpattu 600096",not_present_in_allotment|architecture_only
1147,"MMES Academy of Architecture, C.Abdul Hakeem College Campus, Hakeem Nagar, Melvisharam, Ranipet District 632509",not_present_in_allotment|architecture_only
1152,"CAAD-Chennai Academy of Architecture and Design, No.516-2, Kannigaiper, Chennai-Thirupathi Highway, Near Periyapalayam Amman Temple, Chennai 601102",not_present_in_allotment|architecture_only
1308,"Measi Academy of Architecture, ""Association Gardens"" 87, Peters Road, Royapettah, Chennai 600 014",not_present_in_allotment|architecture_only
1400,"Mohamed Sathak A.J. Academy of Architecture, No.34, Old Mahabalipuram Road (OMR), Chengalpattu District 603103",not_present_in_allotment|architecture_only
1530,"Papni School of Architecture, 302/1, Keeranallur Village, Sriperumbudhur Taluk, Kancheepuram District, Chennai 602108",not_present_in_allotment|architecture_only
2344,"Kongu School of Architecture, Kongu Engineering College Campus,Perundurai Railway Station Road, Thoppupalayam (Post), Perundurai,Erode District 638052",not_present_in_allotment|architecture_only
2348,"San Academy of Architecture, ACC Pirivu,Navakarai Post,Walayar, Coimbatore District 641105",not_present_in_allotment|architecture_only
2361,"Sasi Creative School of Archiecture, No.293/2B, Roja Raja Garden, Pollachi Main Road, Myleripalayam, Coimbatore District 641032",not_present_in_allotment
2364,"School of Architecture Coimbatore Institute of Engineering and Technology, Vellimalai Pattinam, Narasipuram Post, Thondamuture Via, Coimbatore-641109",not_present_in_allotment|architecture_only
2365,"Nehru School of Architecture, No.451-D,Palakkad Main Road,Kuniamuthur,Coimbatore District 641008",not_present_in_allotment|architecture_only
2372,Park Institute of Architecture,not_present_in_allotment|architecture_only
2373,"Hindusthan School of Architecture, Othakkalmandabam Post, Coimbatore District 641032",not_present_in_allotment|architecture_only
2376,"Rathinam School of Architecture and Design at Tips Global, Rathinam Techzone campus, Pollachi Road, Eachanari, Coimbatore - 641021",not_present_in_allotment|architecture_only
2379,PSG Institute Of Architecture And Planning,not_present_in_allotment|architecture_only
2667,"Excel College of Architecture and Planning, NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District 637303",not_present_in_allotment|architecture_only
2684,"TIPS School of Architecture, SF 361/1A, Karuvalur Road, MGC Palayam, S.S. Kulam Post, Coimbatore 641 107",not_present_in_allotment|architecture_only
2728,"Tamilnadu School of Architecture, Tamilnadu College of Engineering Campus, Karumathampatti Post, Coimbatore District 641659",not_present_in_allotment|architecture_only
2759,"McGan s Ooty School of Architecture, 5/635, Perar, Kothagiri Road, Mynala Post, Ooty, The Nilgiris 643002",not_present_in_allotment|architecture_only
2778,"R.V.S. School of Architecture (CBE), Kumaran Kottam Campus, Trichy Road, Kannampalayam Post, Coimbatore District 641402",not_present_in_allotment|architecture_only
2779,"Ranganathan Architecture College, REC Kalvi Nagar, Viraliyur Post, Thondamuthur Via, Coimbatore District 641109",not_present_in_allotment|architecture_only
3446,"Prime College of Architecture and Planning, Main Road, Kilvelur, Nagapattinam District 611104",not_present_in_allotment|architecture_only
3467,"Prime Nest College of Architecture and Planning,V.J.P.Campus,Trichy-Chennai Highway, Navaladiyan Nagar, Siruganur, Tiruchirappalli District 621105",not_present_in_allotment|architecture_only
3783,"M.A.M. School of Architecture, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli District 621105",not_present_in_allotment|architecture_only
3784,"C.A.R.E School of Architecture, No.27, Thayanur Village, Kuttapatti, Srirangam Taluk, Tiruchirappalli District 620009",not_present_in_allotment|architecture_only
4671,"Sigma College of Architecture, Moododu, Anucode Post, Marthandam, Kanyakumari District 629168",not_present_in_allotment|architecture_only
4679,Arul Tharum VPMM College of Architecture,not_present_in_allotment|architecture_only
5544,"Agni School of Architecture and Design Excellence (ASADE),NH45,Trichy Road,Morepatty (Post),Vadamadurai (Via),Dindigul District 624 802",not_present_in_allotment|architecture_only
5863,"R V S Educational Trusts Group of Institutions, RVS Nagar, N Paraipatti Post, Dindigul - 624 005",not_present_in_allotment
